no,admin1_bps_code,admin1_bps,status,date,title,source,type_source
181,71,SULAWESI UTARA,tutup,18 Februari 2022,Pemkab Mitra hentikan kegiatan PTM di sekolah,https://manado.antaranews.com/berita/177381/pemkab-mitra-hentikan-kegiatan-ptm-di-sekolah,news
182,13,SUMATERA BARAT,tutup,16 Maret 2020,Sekolah Diliburkan Dari Tanggal 16 - 30 Maret 2020,https://bengkaliskab.go.id/view/news/sekolah-diliburkan-dari-tanggal-16-30-maret-2020,news
183,13,SUMATERA BARAT,buka,4 Oktober 2021,Padang Gelar PTM bagi SD dan SMP Mulai Senin 4 Oktober 2021,https://sumbar.suara.com/read/2021/10/02/131249/padang-gelar-ptm-bagi-sd-dan-smp-mulai-senin-4-oktober-2021,news
184,16,SUMATERA SELATAN,tutup,17 Maret 2020,Edy Rahmayadi Liburkan Siswa SMA/SMK di Sumut Selama 2 Pekan Lebih,https://sumut.inews.id/berita/edy-rahmayadi-liburkan-siswa-smasmk-di-sumut-selama-2-pekan-lebih,news
185,16,SUMATERA SELATAN,buka,27 Agustus 2021,Sekolah di Sumsel Mulai PTM Pekan Depan,https://www.merdeka.com/peristiwa/sekolah-di-sumsel-mulai-ptm-pekan-depan.html,news
186,16,SUMATERA SELATAN,buka,25 Januari 2022,Hampir Seluruh Sekolah di Sumsel Laksanakan PTM,https://rri.co.id/palembang/iptek/1337495/hampir-seluruh-sekolah-di-sumsel-laksanakan-ptm,news
187,16,SUMATERA SELATAN,tutup,8 Februari 2022,"PTM 10 Sekolah Palembang Disetop Imbas Covid, 6 Kasus Omicron di Sumut",https://www.cnnindonesia.com/nasional/20220207195415-20-756200/ptm-10-sekolah-palembang-disetop-imbas-covid-6-kasus-omicron-di-sumut,news
188,12,SUMATERA UTARA,tutup,17 Maret 2020,"Surat Edaran Gubernur Sumatera Utara Nomor 440/2666/2020 Tahun 2020
Peningkatan Kewaspadaan Terhadap Resiko Penularan Infeksi Corona Virus Disease (Covid-19) Di Sumatera...",https://covid19.hukumonline.com/wp-content/uploads/2020/09/surat_edaran_gubernur_sumatera_utara_nomor_440_2666_2020_tahun_2020.pdf,regulation
189,12,SUMATERA UTARA,buka,23 Agustus 2021,"Tebing Tinggi Mulai Sekolah Tatap Muka, Satgas Covid-19 Awasi Pelaksanannya",https://www.merdeka.com/sumut/tebing-tinggi-mulai-sekolah-tatap-muka-satgas-covid-19-awasi-pelaksanannya.html,news
190,12,SUMATERA UTARA,buka,30 Agustus 2021,"Instruksi Gubernur Sumatera Utara Nomor 188.54/39/INST/2021 Tahun 2021
Pelaksanaan Pembelajaran Tatap Muka Terbatas Di Masa Pandemi Corona Virus Disease 2019...",https://covid19.hukumonline.com/wp-content/uploads/2021/12/instruksi_gubernur_sumatera_utara_nomor_188_54_39_inst_2021_tahun_2021.pdf,regulation
191,12,SUMATERA UTARA,buka,11 Oktober 2021,"Sekolah di Medan Mulai Terapkan Pembelajaran Tatap Muka Terbatas
",https://www.jawapos.com/jpg-today/11/10/2021/sekolah-di-medan-mulai-terapkan-pembelajaran-tatap-muka-terbatas/,news
192,12,SUMATERA UTARA,tutup,19 Februari 2022,"Kasus Covid-19 Meningkat, 345 SMA/SM/SLB se-Sumut Ditutup",https://metrodaily.jawapos.com/merdeka-belajar/22/02/2022/kasus-covid-19-meningkat-345-sma-sm-slb-se-sumut-ditutup/,news
